,name,desc,date
266,Hydros,,2020-02-23T21:38:41.064Z
267,Neuraly,,2018-10-24T20:33:48.785Z
268,Test,,2019-09-11T23:07:56.116Z
269,Forager,,2019-09-08T21:48:51.709Z
270,Refinery29,JHU Connection: https://www.linkedin.com/in/lucie-fink-98131944/,2019-10-19T04:52:07.494Z
271,Portable Alternative Crib,,2019-10-23T01:21:03.666Z
272,heybaby,"https://www.linkedin.com/in/rene-van-de-zande-9a80321/
http://heybaby.app
dating app for people with kids/fine with dating people with kids
",2020-11-10T04:56:11.802Z
273,Unsure/change later,https://www.linkedin.com/in/derinwalters/,2021-04-15T03:15:08.552Z
274,Apollo.io,,2021-11-02T03:13:10.702Z
275,Aramark,,2021-02-12T23:19:19.877Z
276,Odin,,2021-04-25T11:45:49.295Z
277,Wellnite,"HIPAA-Compliant Mental Health App that offers same-day doctor consultation, therapy, and medication delivered to your home. One stop for all mental health needs. 

Hopkins Connect: Phyu (Elisa) Swan, Masters Degree in Bioinformatics",2021-04-25T12:06:55.093Z
278,SonaviLabs,"Med-tech startup building ""smart"" stethoscopes that are able to record medical conversations that you can transfer to HIPAA compliant app and other data to electronic health records. 

Hopkins Connect: Ian McLane, BA, MS, PhD",2021-04-25T12:07:06.139Z
279,3D Biopsy,"repisodic is a health IT platform that makes it easy for patients and healthcare providers to find optimal post-acute care

https://repisodic.com/",2021-03-18T00:01:44.356Z
280,New Age Meats,"https://www.newagemeats.com/

Hopkins Connect
Brian Spears, CEO
https://www.linkedin.com/in/bspears/

What does this company do?
Agro-tech company focused on producing meat products through animal cells grown in labs instead of slaughter.

Why might it be interesting for ALC?
Future of meat industry, solving major issues such as environmental health, antibiotic-resistant superbugs, and humane farming
Recently closed a seed round of undisclosed amount
",2020-04-29T05:49:11.594Z
281,Drona Maps,"Drona Maps helps capture reliable, robust geospatial data to create large-scale 3D maps from imagery collected through drones. They're using their AI tech to help fight COVID in Rajasthan, Punjab, Chhattisgarh, and Haryana. 

https://dronamaps.com/

They've invested 300k+ of their own money; unsure of their funding status.

Hopkins Connect: CEO & Founder: https://www.linkedin.com/in/utkarsh-singh-7aab88159/

COO & Co-Founder: https://www.linkedin.com/in/ayushimishra/

For further reference: https://yourstory.com/2020/04/coronavirus-drona-maps-drones-3d-visuals-hotspots
",2020-05-01T02:05:13.969Z
282,Ghost Robotics,"Agile ground drones for military, homeland, industrial, energy & mining markets

JHU Connect: https://www.linkedin.com/in/avikde/",2021-04-24T19:25:30.344Z
283,Project,,2021-04-24T19:19:50.910Z
284,Albedo,"https://www.albedo.space/

Albedo designs and operates satellites that capture imagery at a resolution 9x higher than what's available today. We're modernizing how satellite imagery is used by providing transparent, near real-time access to our ultra-high resolution datasets.

Just raised a 10M seed round

Founded in Nov 2020

Hopkins Connect: CEO Topher Haddad, MS @ Hopkins, (Lockheed Martin) 
CTO: Also Lockheed, CPO : Facebook",2021-04-25T14:54:04.866Z
285,Tevard Biosciences,"Hopkins Connect:
https://hub.jhu.edu/2021/03/16/jeff-coller-bloomberg-distinguished-professor/
 - Prof at Case Western Reserve is moving over to Hopkins as a Bloomberg Distinguished Professor, his research is the basis of Tevard an RNA therapuetics company that can mitigate effects of Dravet syndrome and potentially other genetic disorders.


Website:
https://tevard.com/
https://www.linkedin.com/company/tevard-biosciences/",2021-04-25T16:09:58.683Z
286,Ascend Robotics,"Stealth-mode startups developing AI robotics to automate order processing in warehouses + construction (https://ascendrobotics.com/)

Currently in stealth and has an interesting product. Hope to reach out soon and learn more

Daniel Posfai (https://www.linkedin.com/in/daniel-posfai-a36a5665?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people_load_more%3BZmeayySzTX%2B1SnWSQWkKmQ%3D%3D)
",2021-04-25T16:10:36.890Z
287,Almond Finance,"Almond Finance provides financial inclusion to entrepreneurs in emerging markets. Provides users with the possibility to receive loans, make digital transactions, promote their businesses and connect to new markets.

Their team is very strong. Most of the founders shared classes at MIT Sloan and have experience working with startups. Original founder has experience working in developing economies.

Connect: Yunus Sevimili (WTE '14, Masters in MechE '15)",2021-11-08T00:43:59.805Z
288,Diliver,"DiliVer is a FinTech M&A software company with specialized due diligence solutions that help yield better combined entity outcomes and a variety of other transaction life-cycle benefits. Their industry-specific data-driven  applications drive a new due diligence paradigm that improves the quality and reduces the risk of M&A transactions for strategic/financial buyers, all stages of sellers, and their intermediaries. DiliVer’s customers either perform M&A financial, legal, or operational due diligence services directly or require such services on an outsourced basis.

Hopkins Connect: https://www.linkedin.com/in/neil-kleinberg-1b70375/
Finances: 6.75 million raised Dec. 2020",2021-04-25T16:13:23.104Z
289,Yaya,"https://www.linkedin.com/in/jackieneumann/
https://www.linkedin.com/in/hernandezpaula/
P2P coaching platform for women
https://www.joinyaya.com/",2021-04-25T16:19:33.883Z
290,ScopeBug,"https://www.scopebug.com/
Co-Founder: Michael Noonan (https://www.linkedin.com/in/michaelsnoonan/)
Founded Apr 2020
Provide a simple set of medical attachments/devices for at-home diagnosis and medical care (""The essential telemedicine toolkit""). 
Product: kit containing a thermometer, caliper, ear/nose speculum, stethoscope, tongue depressor, wipes, ""the bug"" (a camera)
Seem to have a strong founding team with lots of experience in the entrepreneurial world (also have medical advisor which is great)
Team: Jessica Walsh (Chairman, https://www.linkedin.com/in/jessica-walsh-3025807/), Oded Shorer (Chief Design Officer, https://www.linkedin.com/in/oded-shorer-35b8698/), Or Ramot (CTO, https://www.linkedin.com/in/or-ramot/), William Reisacher, MD (Medical Advisor, https://www.linkedin.com/in/william-reisacher-2a861a61/)
",2021-04-25T16:22:03.372Z
291,Command E,"Ben Standefer - founder & CTO. Coursera Specialization, Genomic Data Science (2016). Extensive start-up experience (3rd engineer at Eventbrite, head of product and engineering at First Round Capital, co-founder at FantasyBook, product manager at Urban Airship, etc). 
https://www.linkedin.com/in/aguynamedben/

Command E: An easy keyboard shortcut to open any document, contact, file or record from the cloud. Your data never leaves your laptop. https://getcommande.com  

Raised $4.3 million in seed funding to date from investors including Bain Capital Ventures, Craft Ventures, Amplify Partners, Abstract Ventures and Upside Partnership. https://techcrunch.com/2020/05/19/command-e-raises-4-3-million-to-build-the-ultimate-cross-app-search/",2021-04-25T16:17:27.298Z
292,Confidently,,2021-04-25T16:33:08.238Z
293,Innerva,,2022-03-06T14:58:46.494Z
294,TeamWorx Security,,2022-03-06T14:59:05.526Z
295,IdentityPass,"Easy to use, interoperable digital compliance and security startup based in Nigeria with operations across 4 countries. YC Winter 2022 batch, has verified more than 1 million users so far and is used by 170 businesses(notable ones include two of the largest crypto exchanges in Africa and one of the largest e-commerce platforms). Raised pre-seed of $360K in Nov 2021 backed by D Global Ventures Fund, CcHub and other Angels.",2022-04-28T15:18:29.198Z
296,Class Equity,"Create ownership of classroom routines and teach real-world skills through experiential learning. 

https://www.classequity.com/
https://www.linkedin.com/in/abby-coyle-648090112/",2022-04-28T15:18:29.179Z
297,InfernoGuard,,2022-04-28T15:18:29.064Z
298,EcoMap,Pava LaPere,2022-04-28T15:18:29.049Z
299,zentist,"https://www.zentist.io/

Dental platform automating dental insurance claims processing and revenue cycle management for dental practices and their patients.

$10.6M raised Series A",2022-04-28T15:18:29.044Z
300,Otto,"Pet management software and pet tag system that keeps pets safe.

http://www.otto.pet https://www.linkedin.com/company/ottopetshq/

Founder/CEO - Karan Dalal

Connect - https://www.linkedin.com/in/anthony-sky-ng-thow-hing-9b1352193/",2022-04-20T22:39:26.814Z
301,Abe Abraham,https://www.linkedin.com/in/abeabrahammdmba/,2022-04-28T15:18:31.156Z
302,Frederik Raspé,"Building a commercial real estate investment platform for investors

Stealth startup founded 7mo ago",2022-04-28T15:18:31.145Z
303,Aligned,"Alignment Engine, Inc. (“Aligned” or the “Company”) is a leading technology company creating significant value across the crypto / blockchain ecosystem with a specific emphasis on High Performance Computing and Decentralized Finance.
https://www.aligned.co/

Sam Cassatt
CS JHU
https://www.linkedin.com/in/samcassatt/",2022-04-28T15:18:30.301Z
304,Blinkly,"Blinkly is a technology company that provides quantum resistant, end-to-end encrypted, secure communications software to the public and private sectors.
https://blinkly.com/

Reechik Chatterjee
JHU SAIS Applied Economics 05-07
https://www.linkedin.com/in/reechik/#experience",2022-04-28T15:18:30.282Z
305,Q.ai,"Link to website: https://www.linkedin.com/company/quantai/about/

Hopkins connect: Stephen Mathai-Davis (BS International Studies ’03)

What does the company do?
- Q.ai is an app that makes investing accessible to everyone using artificial intelligence to make smart investing decisions. The app was built by hedge fund quants and investing experts.

Why might this be interesting for ALC?
- This SAAS company raised $1M in its most recent round of venture funding (March 2021).  On top of that, the company utilizes artificial intelligence, which, if competitive with real traders, could prove to be disruptive/viral.",2022-04-28T15:18:30.150Z
306,Tulavi Therapeutics,"Link to website: https://tulavi.com/leadership

Hopkins connect: Corrine Bright (PhD BME ’04)
https://www.linkedin.com/in/corinne-bright-742b633/

What does this company do?
- Develops new drug-device products for the treatment of chronic pain. Leverages platform technology to solve unmet needs in open surgical nerve repair and the percutaneous treatment of chronic nerve pain.

Why might this be interesting for ALC?
- Tulavi has raised a total of $5.8M of funding across 3 rounds, the most recent of which was $1M. The company boasts a strong leadership team that has vast experience with therapeutics as well as previous entrepreneurship ventures.",2022-04-28T15:18:30.153Z
307,Delfi Diagnostics,"hop connect:
https://www.hopkinsmedicine.org/profiles/details/victor-velculescu

liquid biopsy for cancer detection. big competitor to thrive/exact sciences
raises series A in spring of 2021, potentially another round soon? reached out 3.16.22",2022-04-28T15:18:30.151Z
308,Kane Footwear,"Recovery shoe for runners.

JHU Connection: https://www.linkedin.com/in/john-gagliardi-5628767/",2022-04-20T22:36:45.068Z
309,Stakefish,"Stake Ethereum with no minimums

JHU Connection: https://www.linkedin.com/in/danhwang88/",2022-04-28T15:18:34.181Z
310,EOSIN,"Digital Pathology 

https://www.linkedin.com/in/kenneth-tang-12694742/

Reached out 3/7/22",2022-04-28T15:18:34.158Z
311,DroneDesk,"https://www.linkedin.com/in/dorianellis/

Drone management platform 

Reached out 3/7/22 on LinkedIn",2022-04-28T15:18:33.385Z
312,MyLaminin,"Decentralized document sharing using blockchain

https://www.linkedin.com/in/ash-bassili/

Funding info not available yet",2022-04-28T15:18:33.373Z
313,Levo,"https://www.linkedin.com/in/kutaymuslu/
We put the caregiver first by building tools that help the home care industry better engage and recognize their workforce
",2022-04-28T15:18:33.384Z
314,Brandon Duderstadt,https://www.linkedin.com/in/brandon-duderstadt-a3269112a/,2022-04-28T15:18:33.167Z
315,Jonathon Paul DiTroia,https://www.linkedin.com/in/jonathon-ditroia/,2022-04-28T15:18:33.151Z
316,Richard Erb,https://www.linkedin.com/in/richard-erb-39b14030/,2022-04-28T15:18:32.449Z
317,Intrivo,"Intrivo is a digital health company whose mission is to help people live happier, healthier and longer lives by providing them with intuitive tools and comprehensive health information to steward them across their entire health journey. In the midst of the current COVID-19 pandemic, we’ve been focused on helping companies reopen the economy, and individuals rediscover and reconnect through the use of rapid tests. We are the exclusive U.S. commercialization partner to Access Bio, an innovative diagnostics company that has received EUA approval for their CareStart™ COVID-19 Antigen test (as well as the CareStart PCR and Antibody tests). This CareStart™ antigen test gives results in 10 minutes with no additional equipment needed.

https://www.linkedin.com/in/evan-earnest-759a26b/
",2022-04-28T15:18:32.377Z
318,priceMedic,"Name: priceMedic

Link to website: https://pricemedic.com/ 

Hopkins Connect: Josh Nakka, BS in Computer Science JHU (Current student)
https://www.linkedin.com/in/josh-nakka-a30413205/ 

What does this company do?

- Price comparison tool for a wide range of medical procedures and services to help patients find the most affordable option. Currently testing in Colorado.
- Particularly targeted to consumers without full health insurance coverage.

Why might it be interesting to ALC?

- The offering is extremely valuable to consumers given prices for same procedure can vary by over 90% in the same area
- Medical procedures is a multi-billion dollar market - opportunity for priceMedic to capture large share of the savings
- Business model has been proven out in medications with GoodRx",2022-04-28T15:18:32.371Z
319,Supplino,"Supplino
- Link to website: https://supplino.com/
- Hopkins Connect: Eugenio Grapa, BS
   - https://www.linkedin.com/in/eugeniograpa/
- What does this company do?
   - Supply Chain Management Marketplace for SMBs and Supply Chain Experts. Provides 
   supply chain support for product focused start-ups and small business over the entire 
   lifetime of the product.
- Why might it be interesting for ALC?
   - E-Commerce is predicted to grow 16% to over 1 trillion this year, many small business 
   owners require assistance in sourcing their products and scaling the manufacturing. 
   Significant market opportunity with a management team that has a deep background in 
   supply chain and manufacturing. A unique, complete solution for SMBs.",2022-04-28T15:18:32.318Z
320,Chrysalis Digital Asset Exchange,"from applicant:
Chrysalis Digital Asset Exchange
- Link to website: https://chrysalisdae.com/
- Hopkins Connect: Joseph Bognanno MBA
https://www.linkedin.com/in/bognanno/


- What does this company do?
  - A blockchain platform enabling the tokenization of inaccessible digital assets, providing 
   new liquidity and value.
- Why might it be interesting for ALC?
   - Large TAM, significant portion of crypto assets currently inaccessible to rightful owners 
   (20% of bitcoin around 3.7 million). Early stage company yet to complete seed funding 
   round. New industry with no significant competitors.
",2022-04-28T15:18:32.156Z
321,Reviving Mind,"Naina Limbekar - JHU public health, 2009  https://www.linkedin.com/in/naina-limbekar-md-mph-2157bb94/

Reviving Mind - in-network telehealth provider that improves clinical outcomes and program adherence for seniors with chronic illness 
https://www.revivingmind.com/
",2022-04-28T15:18:31.294Z
322,Nodamatics,"https://www.nodamatics.com/
Nodamatics provides non-custodial, programmatic access to staking, statistics and stake-related events letting you focus on your end-user experience.

Daniel Gould
JHU SAIS MA International Economics. Heavy experience in IB. Nodamatics is his first crypto experience. 
https://www.linkedin.com/in/daniel-gould-53bb2353/
",2022-04-28T15:18:31.279Z
323,Modzy,"AI for the Enterprise. Modzy is the ModelOps and MLOps software platform for businesses to deploy, manage, and get value from AI—at scale.

Raised a $5M seed in Nov 2021 from Booze Allen Hamilton",2022-04-28T15:18:31.170Z
324,Avionic,"Management assistant for simplifying access to air transport services.
",2022-04-20T22:36:45.068Z
325,Trestle Biotherapeutics,Developing Biotherapeutic technologies for Kidney disease,2022-04-20T22:36:45.068Z
326,Jonathon Paul DiTroia,"https://www.linkedin.com/in/jonathon-ditroia/

Chief commercial officer @ stealth startup",2022-04-20T22:36:45.479Z
327,Thyme Care,"Robin Shah - previously Flatiron Health & OneOncology. https://www.linkedin.com/in/robin-shah-8072bb35/

Thyme Care - personalized, high-value care for cancer patients. Raised 22M in Oct 2021, led by a16z. https://www.thymecare.com/",2022-04-20T22:36:45.475Z
328,Pylon,"Fahad Hassan, co-founder CEO - JHU CS. Prior experience as a founder (2 acquired companies). Bus ops @ Convoy (3 yrs). Investor @ Activant Capital (2 yrs). https://www.linkedin.com/in/fahadhassan1/

David Cusatis, co-founder and software architect. Software engineer @ Twitch (4 yrs)

Pylon - VC-backed consumer fintech (money management // dashboard to track, monitor, and plan personal finances) https://www.hellopylon.com/",2022-04-20T22:36:45.472Z
329,Equilibrium Energy,"https://www.linkedin.com/in/rchanley/

Founder at clean energy startup
We are building a digital native power company to help create a cleaner, better world.
",2022-04-20T22:36:45.470Z
330,Literal,"https://www.linkedin.com/in/chikaichien/

Visual collaboration tool for app teams. Fastest way to create a complete picture of your app.",2022-04-20T22:36:45.470Z
331,Devyn,"Closing the gap in cardiometabolic health for women.

https://www.linkedin.com/in/gayathribadrinath/",2022-04-20T22:36:45.464Z
332,PrimeBlock,"James Paek left GS TMT and is doing strat finance there

https://primeblock.com/

sustainable mining of crypto",2022-04-20T22:36:45.460Z
333,Unblocked,"Harrison Wang (https://www.linkedin.com/in/hwang0214/) - JHU Bio 2010, USC MBA 2020. Product & user growth @ Flipagram (2yrs, acq by TikTok), growth & data @ TikTok (1yr), growth @ Blockfolio & Ember Fund (4 yrs, both crypto focused). 

Unblocked (https://onunblocked.com/) - an NFT marketplace for music artists, enabling artists to create their own NFTs / experiences around these NFTs. Backed by Dapper Labs, Shawn Mendes, Marcy Venture Partners (Jay-Z fund)
",2022-04-20T22:36:45.457Z
334,Trullion,"Software tool for lease accounting workflow automation and compliance
https://trullion.com/

Raised Seed in March 2021 from Greycroft and Aleph

Michael Weiss (KSAS'16) - Strategic Finance Lead
1 Y 2 M Strategic Finance Manager @ Themis Tech (6.9M USD, Shine), 1 Y 9 M Investment Banking Analyst @ JP Morgan, 2 Y 2 M Combat Soldier @ IDF, 3 M Summer Analyst @ Stifel

CEO is Isaac Hellar
https://www.linkedin.com/in/isaacheller/
",2022-04-20T22:36:45.457Z
335,Gadget,"Hopkins Connect: Elizabeth Kelen

""At Gadget, we're building a development platform designed to rid developers of the endless repetition of boilerplate and busywork, allowing them to build better software, faster.""

Raised 8.5M USD Seed from Sequoia and Bessemer Venture Partners",2022-04-20T22:36:45.453Z
336,Snickerdoodle Labs,"https://www.snickerdoodlelabs.io/
Snickerdoodle is using blockchain technology to build a data economy that protects user privacy and distributes value to all stakeholders, including data owners. They are building the infrastructure to allow people to own their data and monetize it in a secure way.

Kerry Frank (JHU KSAS '12). Holds M.S. and MBA from Oxford. Head of Digital Identity at Snickerdoodle.
Also a current Policy Analyst at PayPal
https://www.linkedin.com/in/kerry-frank-34a908a3/

$2.4 million dollar raise lead by Kinetic, a Hong Kong-based blockchain investment and trading firm.",2022-04-28T15:18:34.393Z
337,CardioWise,"CardioWise: https://www.linkedin.com/company/cardiowise-inc./about/
Hopkins Connect: Amir Pourmorteza, https://www.linkedin.com/company/cardiowise-inc./about/
- Chairman of CardioWise board, Hop BME PhD in 2015

Non-invasive cardiac CT imaging analysis software built for quick analysis of left ventricular function and disease diagnosis. Basically a decision support tool for cardiologists

Software has FDA clearance as of Jan 2021! https://www.prweb.com/releases/cardiowise_receives_us_fda_510k_clearance_for_stretch_quantifier_for_endocardial_engraved_zones_squeez_heart_function_analysis_software/prweb17641017.htm

Have raised 5M to date, 10M post$. Tech is licensed from JHTV, NSF grants as well. They've competed in lots of health competitions recently (UCSF Health Awards semifinalist)


",2022-04-20T22:36:45.450Z
338,Operator,"https://www.linkedin.com/in/kevinjoo/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABGq6gsBEDLa8SPxaMn0rXk_hv9yqM2DlD4

Founder of Trimwire",2022-04-20T22:36:45.448Z
339,Authtech,"www.authtech.co
Uses LiFi technology to make mobile payments more secure.

Wenhao Yang (MS Information Systems '19). Co-Founder.
Currently also working on Strategic Partnerships at btwn.
https://www.linkedin.com/in/wenhao-yang-4b03838a

Does not look like the company has raised yet.",2022-04-28T15:18:28.194Z
340,Rubi Laboratories,"Venture-backed startup creating carbon-negative, water- & land-neutral cellulosic textiles for the fashion industry using synbio.

https://climateraise.substack.com/p/issue-19-emrgy-agreed-earth-rubi

Hop connect, Leila Mashouf
https://www.linkedin.com/in/leilamashouf/, Hop 2018, Comp Neuro. Now HMS till 2023. Former Aphi

",2022-04-28T15:18:28.209Z
341,Symbiont,"https://www.symbiont.io/

"" Distributed ledger done properly"" 

https://www.linkedin.com/in/ocheret/

",2022-04-20T22:36:45.447Z
342,Village Music,"https://www.villagemusic.co/

https://www.linkedin.com/in/jeffrey-wynn/",2022-04-20T22:36:45.444Z
343,Virtual Incision Corp,"https://virtualincision.com/

https://www.linkedin.com/in/mukund-srinivasan-83b1931/

",2022-04-20T22:36:45.442Z
344,Olive,"shopolive.com

On a mission to eliminate the hassles of online shopping while creating a marketplace for a more sustainable future.

Raised Series A in Dec 2020

Sarah Sathaye (Chief Customer Officer) '02: Chief Rev Officer @ Jet black, Head of Innovation @ Shopbop (Acq by Amazon), VP of Special Projects @ Alton Lane (10.7M USD total funding), Case Team Leader @ Bain, MBA @ HBS, IB Summer Associate @ JPM, Associate @ Booz Allen Hamilton
https://www.linkedin.com/in/sarahsathaye/",2022-04-20T22:36:45.440Z
345,Triple Dot Engineering,"https://www.linkedin.com/in/jdanielkaplan/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAxjC9QBhr7D_RRz0c2galrdJkUpRzwtG1o

Accelerate faster. Do more rigorous engineering with fewer resources with Trivium.

https://triple.engineering/

",2022-04-20T22:36:45.438Z
346,Zingtree,"https://zingtree.com
No code interactive decision trees that help you create agent scripts, guide customers, and manage internal processes

https://www.linkedin.com/in/appledavid/
https://www.linkedin.com/in/sykinc4/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAADcsjMBxJ6vEfO9m07SYAhvipHQUNU7KqQ

",2022-04-20T22:36:45.436Z
347,Themis-Tech,"""Technology changing the way clients work with attorneys. ""
https://www.linkedin.com/in/nharnik/


Blake Range (Strategy & Operations) '16: Strat & Revenue Cycle Manager @ PharmScript LLC, Analyst @ Veralon
https://www.linkedin.com/in/blakerange/",2022-04-20T22:36:45.433Z
348,Sevco Security,"JJ Guy, co-founder & CEO - JHU MS, CS 2010. Officer @ US Air Force (5 yrs), VP & GM @ ManTech (7 yrs, security co), founding engineer @ Carbon Black (5 yrs, IPO’d, cybersecurity company), CTO & COO @ JASK (3 yrs, cybersecurity co, acq by Sumo Logic) https://www.linkedin.com/in/jjguy/

Greg Fitzgerald, co-founder & president - not Hopkins connect. Extensive experience as a co-founder, COO, CMO, board member at a variety of companies. https://www.linkedin.com/in/gregorysfitzgerald/

Sevco - cybersecurity company using patented telemetry technology to identify and solve security gaps. https://sevcosecurity.com/

Founded in 2020. $15M in Series A funding led by SYN Ventures in June 2021. Participation from .406 Ventures, Accomplice, Bill Wood Ventures and fama Ventures.",2022-04-20T22:36:45.430Z
349,Alt-r,"Carly Stoughton - JHU data science 2015. Head of product marketing at Ambient.ai (start-up backed by a16z and Y Combinator) https://www.linkedin.com/in/vcarly/

Alt-r - stealth mode, focusing on “modernizing enterprise identity solutions” (not much other info on the website). https://www.alt-r.ai/",2022-04-20T22:36:45.428Z
350,Groundswell,"Nick Carchedi - JHU Biostatistics Masters, 2014. Data scientist at McKinsey (1 year); 3rd employee and technical product manager at DataCamp (4 years, helped grow revenue from $500K to $30M+); On Deck Fellow 2021. https://www.linkedin.com/in/nickcarchedi/

Groundswell - empowers sales teams with just-in-time notifications and account prioritization based on product usage insights. Goal: identify and capitalize on great sales opportunities, by knowing how your customers are using your product and when to reach out. https://www.trygroundswell.com/

Announced their first funding round a few days ago. Village Global led the round + angel investors who are GTM leaders from leading SaaS companies such as Slack, Docusign, Typeform, Snowflake, Zendesk, Workato. ",2022-04-20T22:36:45.426Z
351,SilkTech Biopharmaceuticals,"www.silk-tech.com	
Hop conenct: Emmett Cunningham Ph.D, Blackstone Life Sciences - sits on the board
https://www.linkedin.com/in/emmett-cunningham-6b6a9950/	

Investors: BR Venture Fund, Cornell University, National Science Foundation, Skyview Capital Ventures, Trousdale Ventures, United States Department of Defense, US Army's Small Business Innovation Research	

Provider of a biotechnology service intended to innovate and develop silk-derived protein (SDP) products for ophthalmic applications. The company's service produces silk-based protein products by using SDP technology that completely removes non-natural or potentially unhealthy additives in silk proteins and can be dissolved in water at very high concentrations without affecting the taste, texture, color or smell, enabling medical practitioners to get silk-derived protein bio therapeutics for the treatment of Dry Eye Disease (DED).						",2022-04-20T22:36:45.424Z
352,RNAimmune,"RNAimmune is in the field of using messenger RNA (mRNA) technology for the development of cancer therapies, antibody therapies, the treatment of rare diseases, and prophylactic vaccines. They've developed a synthetic biology based, artificial intelligence aided platform that help us design better mRNAs to invoke the optimal response from our immune system. 

Strong team, early stage biotech, versatile technology, $10M Seed round. 

JHU Connect: Dong Shen ",2022-04-20T22:36:45.421Z
353,George Gulino,https://www.linkedin.com/in/george-gulino-21a053a4/,2022-04-20T22:36:45.418Z
354,Andy LaMora,"https://www.linkedin.com/in/andylamora/

software company for oil and gas",2022-04-20T22:36:45.417Z
355,Carlos Caro,https://www.linkedin.com/in/carlos-caro-b923596/,2022-04-20T22:36:45.415Z
356,Net Purpose,"www.netpurpose.com
Operator of a data aggregation platform dedicated to make impact measurement effortless for investors.

Samantha Duncan (SAIS '12). Co-founder and CEO.
Former Head of Impact at LeapFrog Investments.
https://www.linkedin.com/in/samantha-duncan-6235a814/

Undisclosed pre-seed raise in 2020 from Revent, Céline Infeld, Illuminate Financial Management, Impact Ventures (London), Jeffry Louis, Jim O'Neill, Kevin Gould, Louis Family, Matt Robinson, Matthew Cooper, Nimrod Priell, Revent Capital, Sari Miller, Stefano Bernardi, Vladislav Tropko.",2022-04-20T22:36:45.412Z
357,Navrogen,"www.navrogen.com
Developer of biopharmaceuticals technology designed to offer targeted treatment of cancer.

Nicole Nicolaides (Med School '96). President, CEO, Co-Founder
Former President and CEO of Morphotek, biopharm company that raised $78.5M and is now at 70+ employees. Was there for 18 years before founding Navrogen.
https://www.linkedin.com/in/nicholas-nicolaides-435a4126/

Just closed a $3M seed round (Aug 2021) from Allan Bedwick, Ben Franklin Technology Partner of Southeastern Pennsylvania, Tellus BioVentures.",2022-04-20T22:36:45.409Z
358,Mesa Cloud,"www.mesacloud.com
Developer of a student progress platform intended to track each student's achievement against their graduation journey.

John Ruff (MS Education, '16). COO & President
Former Chief Growth Officer at ScribeSense, an online grading platform
https://www.linkedin.com/in/john-ruff-91106215/

Just closed a $2.7 million seed in 2021 from Alumni Ventures Group, Frontera Technology.",2022-04-28T15:18:28.047Z
359,X-Vax,"X-Vax is a biotech company developing vaccines against pathogens acquired by mucosal infection such as herpes. Their new approach could succeed in defeating herpes by inducing antibodies that mediate the killing of infected cells. Currently supported by data in multiple preclinical models.
http://x-vax.com/

Hopkins Connect: Varsha Jain",2022-04-20T22:36:45.408Z
360,VivaLNK,"Vivalink is a provider of connected healthcare solutions for in-hospital, ambulatory, and remote patient monitoring. The company’s portfolio includes wearable medical sensors and an IoHT platform designed to continuously monitor patient vitals and biometrics in realtime or for retrospective analysis.

In 2014, the company introduced eSkin™, which represented the first-of-its-kind breathable thin film substrate with integrated circuits and sensors designed for long term wearable use.
www.vivalink.com

Hopkins Connect: Niel Starksen
https://www.linkedin.com/in/niel-starksen-44a2a11a/",2022-04-20T22:36:45.405Z
361,Via Separations,"Via eliminates energy use in industrial processes, enabling pathways for a more sustainable, resource efficient future. With its core filtration technology, Via can slash the energy used in separation processes by 90%. Backed by The Engine, Safar Partners, Prime Impact Fund, and MassCEC.
https://viaseparations.com/

Hopkins Connect: Jeffrey Grossman Ph.D",2022-04-20T22:36:45.403Z
362,vFunction,"vFunction modernizes Java applications and accelerates migration to the cloud
For demo: https://youtu.be/5KJj7wEg9IY
https://vfunction.com/

Hopkins Connect: Bob Quillin
https://www.linkedin.com/in/bob-quillin-46802511/",2022-04-20T22:36:45.400Z
363,Uppthera,"UPPthera Inc is a pharmaceutical venture company aiming for new drug development employing ""protein degradation technology"".
http://www.uppthera.com/

Hopkins Connect: HwaJin Lee Ph.D",2022-04-20T22:36:45.398Z
364,Province Brands,"www.provincebrands.com
https://www.linkedin.com/in/mary-ritz-68011617/
Beverage tech company out of Canada

",2022-04-20T22:36:45.396Z
365,ProteoSense,"Detect pathogens in water
proteosense.com
Chris Littel",2022-04-20T22:36:45.392Z
366,Envision2bwell,"Envision2bWell, Inc is a mission-driven company dedicated to 360° Well-Being and Social Health Empowerment.

Our digital health and wellness platform, EnvisionWell, is a one-stop resource intersecting Workplace Wellness, TeleWellness and Personal Wellness for whole-person 360° Well-Being. We provide digital, social, AND human experiences that offer the knowledge, support, access, autonomy AND engagement needed to live an intentionally healthier life.

Website: www.envision2bwell.io
Connect: https://www.linkedin.com/in/gillianmjohnson/",2022-04-20T22:36:45.390Z
367,Preveil,"www.preveil.com
everyday encryption tool
https://www.linkedin.com/in/rebecakerr/",2022-04-20T22:36:45.387Z
368,Polaris Genomics,"Help veterans with PTSD
www.polarisgenomics.com
https://www.linkedin.com/in/charlescathlin/",2022-04-20T22:36:45.385Z
